epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93815,0.82768,3.39867,1.02302,0.00333,0.95,0.9451,0.76525,0.55508,2.79767,0.91325,0.0027,0.0027,0.0757
2,17.1533,0.72046,1.41008,0.90106,0.00333,0.95,0.9451,0.78688,0.58861,2.29122,0.91721,0.00548911,0.00548911,0.0504891
3,24.4688,0.75988,1.06467,0.89969,0.00333,0.95,0.9451,0.75686,0.73444,2.24697,0.93548,0.00826713,0.00826713,0.0252671
4,31.544,0.83674,1.08599,0.93096,0.99651,0.95,0.9451,0.69758,0.91177,0.7955,0.99735,0.0099406,0.0099406,0.0099406
5,38.5235,0.74987,0.97899,0.92714,0.9953,0.95,0.94513,0.78773,0.65558,1.02822,0.95929,0.0099208,0.0099208,0.0099208
6,45.5503,0.72256,0.89347,0.91977,0.99666,0.95,0.94517,0.75036,0.71237,0.67184,0.96067,0.009901,0.009901,0.009901
7,52.4841,0.70629,0.79809,0.92317,0.996,0.95,0.94517,0.78622,0.73207,0.64317,0.97392,0.0098812,0.0098812,0.0098812
8,59.5883,0.67519,0.77544,0.90373,0.99462,0.95,0.94524,0.74582,0.75339,0.62201,0.97818,0.0098614,0.0098614,0.0098614
9,66.6339,0.65207,0.76451,0.89477,0.9968,0.95,0.94526,0.8337,0.53883,0.45996,0.91693,0.0098416,0.0098416,0.0098416
10,73.827,0.65443,0.65811,0.89908,0.99692,0.95,0.94533,0.79403,0.6954,0.59078,0.94939,0.0098218,0.0098218,0.0098218
11,80.8178,0.65148,0.63903,0.9081,0.99599,0.95,0.94549,0.77201,0.67149,0.45777,0.94545,0.009802,0.009802,0.009802
12,87.8723,0.63217,0.60272,0.88557,0.99744,0.95,0.94603,0.81624,0.61993,0.41141,0.94255,0.0097822,0.0097822,0.0097822
13,95.0087,0.58935,0.59764,0.88121,0.9954,0.95,0.9464,0.82141,0.56094,0.4472,0.92552,0.0097624,0.0097624,0.0097624
14,102.053,0.60574,0.55989,0.88991,0.99743,0.95,0.94703,0.78321,0.61816,0.45211,0.94516,0.0097426,0.0097426,0.0097426
15,109.162,0.60122,0.55138,0.87192,0.99595,0.95,0.94682,0.79509,0.63416,0.50735,0.93775,0.0097228,0.0097228,0.0097228
16,116.106,0.58689,0.53074,0.88276,0.99518,0.95,0.94639,0.82698,0.55637,0.43667,0.93687,0.009703,0.009703,0.009703
17,123.37,0.58163,0.50271,0.88978,0.99408,0.95,0.96352,0.78978,0.63109,0.40403,0.93678,0.0096832,0.0096832,0.0096832
18,130.548,0.56674,0.52743,0.87934,0.98247,0.95,0.9549,0.82019,0.57329,0.46775,0.92547,0.0096634,0.0096634,0.0096634
19,137.736,0.56327,0.50069,0.87969,0.99546,0.95,0.97064,0.81822,0.57957,0.44652,0.92143,0.0096436,0.0096436,0.0096436
20,144.689,0.58967,0.51036,0.88514,0.99083,0.95,0.99045,0.83926,0.50014,0.36648,0.91123,0.0096238,0.0096238,0.0096238
