epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4792,1.47425,3.73816,1.55183,0.00333,1,0.01261,0.00718,1.02575,3.4284,1.104,8e-05,8e-05,8e-05
2,78.224,1.35721,2.84563,1.21074,0.00333,1,0.995,0.6539,1.11508,2.99703,0.87555,0.000178218,0.000178218,0.000178218
3,104.897,1.19576,1.70679,1.08936,0.00333,1,0.995,0.51466,0.9074,3.03077,0.84703,0.000274456,0.000274456,0.000274456
4,132.751,1.21918,1.66517,1.05711,0.00333,1,0.995,0.62993,1.00296,3.03352,0.86615,0.000368714,0.000368714,0.000368714
5,159.815,1.24099,1.56713,1.11873,0.00333,1,0.995,0.64342,0.86612,3.03889,0.83631,0.000460992,0.000460992,0.000460992
6,195.6,1.15334,1.40247,1.05927,0.00333,1,0.84047,0.56592,0.93082,3.16568,0.90465,0.00055129,0.00055129,0.00055129
7,222.828,1.1911,1.22372,1.02912,0.00333,1,0.75572,0.52782,0.98853,3.2756,0.95187,0.000639608,0.000639608,0.000639608
8,251.034,1.19919,1.52845,1.05599,0.00308,0.92308,0.08364,0.04822,1.04217,3.70311,1.14341,0.000725946,0.000725946,0.000725946
9,278.174,1.15548,1.42468,1.06687,0.00342,1,0.01504,0.00486,1.29342,3.80182,1.3707,0.000810304,0.000810304,0.000810304
10,305.384,1.23253,1.36207,1.10179,0.00334,1,0.0149,0.00601,1.21095,3.64911,1.2514,0.000892682,0.000892682,0.000892682
11,331.937,1.04112,1.52519,1.0272,0.61028,1,0.89981,0.64873,0.9458,2.49849,0.93076,0.00097308,0.00097308,0.00097308
12,359.619,1.08044,1.21605,1.03585,1,0.9668,0.995,0.72798,0.96591,2.1388,1.02546,0.0010515,0.0010515,0.0010515
13,386.531,1.20804,1.40728,1.13937,1,0.66041,0.995,0.72412,0.99063,2.40728,1.03238,0.00112794,0.00112794,0.00112794
14,413.026,1.129,1.30231,1.08016,1,0.68573,0.94039,0.67014,0.93177,2.37451,1.00436,0.00120239,0.00120239,0.00120239
15,439.637,1.29907,1.4639,1.22644,0.86443,0.98192,0.9507,0.69026,0.99258,1.83949,1.02847,0.00127487,0.00127487,0.00127487
16,468.132,1.12226,1.2719,1.05669,0.9686,1,0.995,0.72009,0.89443,1.75417,0.9645,0.00134537,0.00134537,0.00134537
17,519.022,1.15079,1.18458,1.06977,0.91231,0.92308,0.98188,0.72184,0.95959,1.8457,1.00765,0.00141389,0.00141389,0.00141389
18,547.371,1.09259,1.12827,1.05553,0.98416,0.84615,0.96147,0.54927,1.15398,1.91983,1.1282,0.00148043,0.00148043,0.00148043
19,576.239,1.25263,1.31425,1.12393,1,0.73016,0.96833,0.65218,1.00455,1.98795,1.02047,0.00154498,0.00154498,0.00154498
20,604.561,1.06339,1.12601,1.08112,0.65084,0.7181,0.75157,0.288,1.61662,2.58173,1.37803,0.00160756,0.00160756,0.00160756
21,632.245,1.24456,1.12999,1.12197,0.44643,0.68281,0.44186,0.28311,1.05599,2.40616,1.12729,0.001604,0.001604,0.001604
22,665.112,1.07197,1.0727,1.08484,0.91326,0.92308,0.98188,0.72955,0.99737,1.69532,1.08834,0.0015842,0.0015842,0.0015842
23,699.811,1.16489,1.12736,1.07827,0.99069,1,0.995,0.65865,1.07939,1.12435,1.19374,0.0015644,0.0015644,0.0015644
24,744.321,1.12193,1.12069,1.13559,0.9952,1,0.995,0.6945,0.92015,1.1014,1.06092,0.0015446,0.0015446,0.0015446
25,849.548,1.18468,1.03268,1.06405,0.99779,1,0.995,0.71553,0.93122,1.05526,1.07264,0.0015248,0.0015248,0.0015248
26,882.292,1.17215,1.03508,1.10094,0.98915,1,0.995,0.68558,1.008,1.01422,1.08178,0.001505,0.001505,0.001505
27,920.556,1.05281,0.95454,1.06307,0.99409,1,0.995,0.70176,1.01972,0.95156,1.09205,0.0014852,0.0014852,0.0014852
28,990.293,0.95432,0.95058,0.99777,0.99548,1,0.995,0.68562,0.99875,0.84511,1.06377,0.0014654,0.0014654,0.0014654
29,1024.94,1.11594,0.95917,1.22511,0.99477,1,0.995,0.68758,1.01882,0.87198,1.04815,0.0014456,0.0014456,0.0014456
30,1060.39,1.15373,0.99551,1.07929,0.99356,1,0.995,0.65994,1.1081,0.9221,1.03207,0.0014258,0.0014258,0.0014258
31,1094.93,1.05413,0.98724,1.12626,0.99328,1,0.995,0.72396,1.03341,0.8618,1.02759,0.001406,0.001406,0.001406
32,1157.33,1.06718,0.91234,1.16823,0.99364,1,0.995,0.71521,0.91393,0.87612,1.07866,0.0013862,0.0013862,0.0013862
33,1254.7,1.07892,0.96351,1.09614,0.99412,1,0.995,0.74637,0.90921,0.84973,1.06604,0.0013664,0.0013664,0.0013664
34,1317.37,1.08923,0.93714,1.16146,0.99301,1,0.995,0.69866,0.95408,0.87032,1.09416,0.0013466,0.0013466,0.0013466
